Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH
I1,26-01-2003,Brescia,Parma,1,1,D,1,1,D,2.37,2.87,2.8,2.35,2.9,3,2.4,2.8,2.8,2.38,3,2.75,2.4,3,2.75,2.4,3,2.75,2.3,2.9,2.9,1.9,1.7,L. Palanca,9,10,4,5,12,21,8,1,2,2,1,0,1.95,3,4.33,2,3,3.75,2,3,3.9,2.1,2.7,3.5,2,3,3.5,2,3,3.75,1.91,3,4,1.91
I1,26-01-2003,Inter,Empoli,3,0,H,0,0,D,1.3,4.33,8,1.33,4.2,9,1.3,4,8.5,1.33,4,8,1.29,4.33,9,1.29,4.33,9,1.25,4.5,10,1.7,1.9,P. Bertini,10,20,5,10,10,19,6,7,2,3,0,0,6,3.4,1.61,5.8,3.3,1.6,5.75,3.3,1.62,4.8,2.9,1.7,5,3.25,1.62,6,3.4,1.62,5.25,3.4,1.62,5.25
I1,26-01-2003,Juventus,Piacenza,2,0,H,2,0,H,1.2,5,11,1.25,5,10,1.2,4.7,11,1.2,5,11,1.22,5,10,1.22,5,10,1.2,5,11,1.65,1.95,G. Rocchi,9,11,4,6,20,21,3,4,3,2,0,0,2.3,3,3.25,2.25,3,3.15,2.2,3,3.3,2.2,2.9,3,2.1,3,3.2,2.2,3.1,3.25,2.1,3,3.4,2.1
I1,26-01-2003,Lazio,Reggina,0,1,A,0,0,D,1.28,4.33,8.5,1.33,4.2,9,1.3,4,8.5,1.36,3.75,8,1.3,4.33,8.5,1.3,4.33,8.5,1.25,5,8,1.65,1.95,A. Dattilo,8,3,4,2,16,19,5,2,3,1,0,0,2,3.1,4,1.95,3.1,3.8,1.95,3,3.9,2,2.8,3.6,1.83,3.2,3.75,1.91,3.05,4,1.83,3,4.33,1.83
I1,26-01-2003,Perugia,Chievo,1,0,H,1,0,H,2.25,3,2.87,2.25,2.95,3.1,2.2,2.9,3,2.38,2.88,2.8,2.25,3,3,2.25,3,3,2.25,2.87,3,1.8,1.8,P. Dondarini,7,5,3,1,19,14,6,3,3,2,1,1,2.1,2.8,4,2.15,2.95,3.4,2.1,2.9,3.6,1.9,2.9,3.8,1.91,3,3.75,2.05,2.88,3.75,1.9,3,3.75,1.91
I1,26-01-2003,Udinese,Milan,1,0,H,1,0,H,3.4,3,2,3.5,3.15,2,3.3,3,2,3.4,3,2,3.4,3.1,2,3.4,3.1,2,3.4,3,2,1.7,1.9,R. Rosetti,10,10,3,6,20,24,1,7,2,1,0,0,1.72,3.1,5.5,1.7,3.3,4.8,1.7,3.2,5.1,1.75,3.1,4.2,1.62,3.25,5,1.7,3.2,5,1.61,3.1,5.5,1.67
I1,01-02-2003,Piacenza,Brescia,1,4,A,1,2,A,2.3,2.8,3,2.3,2.95,3,2.4,2.7,2.9,2.25,2.88,3,2.2,2.88,3.2,2.2,2.88,3.2,2.25,2.8,3.1,1.9,1.7,O. Girardi,17,6,9,4,18,17,9,2,0,1,0,0,1.14,6,17,1.16,6,14.5,1.18,5.5,13,1.2,5,10,1.2,5,11,1.18,5.5,13,1.2,5,11,1.14
I1,01-02-2003,Roma,Bologna,3,1,H,1,1,D,1.8,2.9,4.5,1.8,3.05,4.5,1.7,3.1,4.4,1.73,2.88,5,1.8,3,4.5,1.8,3,4.5,1.8,3.1,4,1.8,1.8,M. De Santis,10,6,6,5,31,28,8,2,2,1,0,0,1.16,6,19,1.16,6,14.5,1.17,6,14,1.17,5.5,11,1.17,5.5,12,1.17,6.25,15,1.16,5.5,12,1.1
I1,02-02-2003,Atalanta,Juventus,1,1,D,1,0,H,4.33,3.2,1.72,4.3,3.15,1.8,3.8,3.1,1.8,4,3.2,1.8,4.2,3.1,1.8,4.2,3.1,1.8,4.5,3.1,1.72,1.75,1.85,G. Lops,11,4,2,2,22,15,5,5,2,3,1,0,2.6,3.1,2.7,2.75,2.85,2.6,2.65,2.9,2.65,2.5,2.9,2.6,2.5,2.88,2.62,2.7,2.88,2.62,2.62,2.9,2.5,2.6
I1,02-02-2003,Chievo,Lazio,1,1,D,1,0,H,2.37,3.1,2.62,2.55,3.2,2.5,2.5,2.9,2.6,2.5,3.2,2.5,2.5,3.1,2.6,2.5,3.1,2.6,2.5,3.1,2.5,1.8,1.8,M. Trefoloni,6,17,2,11,11,18,5,5,1,0,0,0,4.33,3.1,1.9,4.2,3.25,1.8,4.5,3,1.85,3.8,2.9,1.9,4,3.2,1.8,4.5,3.15,1.85,3.75,3,1.9,4.33
